ComicID,Title,Issue_Num,Issue_Date,Issue_Year,Publisher,Country,ArtComments,KeyComments,Label_Category,POP_0_5,POP_1_0,POP_1_5,POP_1_8,POP_2_0,POP_2_5,POP_3_0,POP_3_5,POP_4_0,POP_4_5,POP_5_0,POP_5_5,POP_6_0,POP_6_5,POP_7_0,POP_7_5,POP_8_0,POP_8_5,POP_9_0,POP_9_2,POP_9_4,POP_9_6,POP_9_8,POP_9_9,POP_10_0,CG_POP_TOTAL
9017661,Fantastic Adventures,26,Apr-42,1942,Ziff-Davis Pub., ,"Cover by Malcolm Smith Manly Wade Wellman, Robert Bloch stories Virgil Finlay art",  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9017671,Fantastic Adventures,36,Feb-43,1943,Ziff-Davis Pub., ,Cover by Robert Gibson Jones Robert Bloch story ,  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9017689,Fantastic Adventures,54,Feb-46,1946,Ziff-Davis Pub., ,Cover by Walter Parke  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5018423,Fantastic Adventures,v1 #1,May-39,1939,Ziff-Davis Pub., ,"Tofte, Binder, Rocklynne, Duclos, Kummer, Jr., Verrill & Vincent stories ","Julian S. Krupa art Rbert Fuqua cover, Frank R. Paul back cover ",Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9017804,Fantastic Novels,19,May-50,1950,Popular, ,Cover by Norman Saunders  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9018589,Five-Novels Monthly,140,Sep-39,1939,Dell Publishing, ,  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9018890,"Flynn's Detective Fiction",920,May-44,1944,Popular, ,Edward S. Williams story  ,  ,Universal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9019402,Future Combined with Science Fiction,7,Oct-41,1941,Columbia, ,Cover by Hannes Bok Ray Cummings story ,Numbering continued from Future Fiction  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9019421,Future Fiction,1,Nov-39,1939,Columbia, ,Cover by J. W. Scott Jack Binder & Frank R. Paul art ,"Ad for Blue Ribbon Comics #1 featuring ""Fang-A-Tang"" The Wonder Dog ",Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9019493,G-8 and His Battle Aces,29,Feb-36,1936,Popular, ,Cover by Frederick Blakeslee  ,  ,Universal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
